Time,"CH 1, Ãþ¤ñ¿é¤J"
sec,V
0,0.170288086
0.0005,-0.108947754
0.001,0.043640137
0.0015,-0.409851074
0.002,-0.295715332
0.0025,-0.338134766
0.003,-0.314331055
0.0035,-0.278015137
0.004,-0.096740723
0.0045,-0.133056641
0.005,-0.00579834
0.0055,-0.231628418
0.006,-0.197143555
0.0065,-0.095214844
0.007,-0.155639648
0.0075,-0.367736816
0.008,-0.046386719
0.0085,-0.084533691
0.009,-0.184326172
0.0095,-0.14831543
0.01,-0.01373291
0.0105,-0.023498535
0.011,-0.213928223
0.0115,-0.170288086
0.012,-0.153198242
0.0125,0.096740723
0.013,-0.095214844
0.0135,-0.144042969
0.014,-0.113525391
0.0145,0.068664551
0.015,-0.111694336
0.0155,0.259094238
0.016,0.031738281
0.0165,-0.050048828
0.017,-0.032043457
0.0175,-0.032653809
0.018,0.264282227
0.0185,-0.004272461
0.019,0.171508789
0.0195,0.044250488
0.02,-0.065002441
0.0205,-0.049438477
0.021,-0.321655273
0.0215,-0.248718262
0.022,-0.108642578
0.0225,-0.003662109
0.023,-0.16204834
0.0235,0.090637207
0.024,0.068359375
0.0245,-0.189819336
0.025,0.187683105
0.0255,0.065002441
0.026,0.080871582
0.0265,-0.090942383
0.027,-0.008544922
0.0275,0.097961426
0.028,-0.031433105
0.0285,-0.160217285
0.029,0.026245117
0.0295,0.114440918
0.03,0.191345215
0.0305,0.012512207
0.031,0.089416504
0.0315,0.270385742
0.032,0.167236328
0.0325,0.162658691
0.033,0.299682617
0.0335,0.195922852
0.034,0.243225098
0.0345,0.1953125
0.035,0.54107666
0.0355,0.591430664
0.036,0.787658691
0.0365,0.66986084
0.037,0.615234375
0.0375,0.652770996
0.038,0.51361084
0.0385,0.397033691
0.039,0.409545898
0.0395,0.584411621
0.04,0.393676758
0.0405,0.518188477
0.041,0.634765625
0.0415,0.356445313
0.042,0.427856445
0.0425,0.733032227
0.043,0.554504395
0.0435,0.7421875
0.044,0.680847168
0.0445,1.180114746
0.045,1.034545898
0.0455,0.758361816
0.046,0.495910645
0.0465,0.693359375
0.047,0.894165039
0.0475,0.88104248
0.048,0.846862793
0.0485,0.893859863
0.049,0.943603516
0.0495,1.001586914
0.05,1.247558594
0.0505,1.147766113
0.051,1.285705566
0.0515,1.004333496
0.052,1.395568848
