Time,"CH 1, Ãþ¤ñ¿é¤J"
sec,V
0,-2.121276855
0.0005,-2.225952148
0.001,-2.064819336
0.0015,-2.155151367
0.002,-1.878662109
0.0025,-1.828918457
0.003,-1.866760254
0.0035,-1.856384277
0.004,-2.275390625
0.0045,-2.19329834
0.005,-1.985473633
0.0055,-2.208251953
0.006,-2.109069824
0.0065,-2.224731445
0.007,-2.21282959
0.0075,-2.354736328
0.008,-2.147827148
0.0085,-2.32421875
0.009,-2.356262207
0.0095,-2.211608887
0.01,-2.340087891
0.0105,-2.12890625
0.011,-2.096252441
0.0115,-2.185974121
0.012,-2.101745605
0.0125,-2.218933105
0.013,-2.430114746
0.0135,-2.21862793
0.014,-2.506103516
0.0145,-2.239074707
0.015,-2.339172363
0.0155,-2.430725098
0.016,-2.530212402
0.0165,-2.458190918
0.017,-2.527160645
0.0175,-2.550964355
0.018,-2.44354248
0.0185,-2.524414063
0.019,-2.535705566
0.0195,-2.439880371
0.02,-2.493896484
0.0205,-2.262268066
0.021,-2.346191406
0.0215,-2.509155273
0.022,-2.315673828
0.0225,-2.625427246
0.023,-2.516479492
0.0235,-2.468261719
0.024,-2.517089844
0.0245,-2.628173828
0.025,-2.641601563
0.0255,-2.583618164
0.026,-2.725219727
0.0265,-2.481384277
0.027,-2.766723633
0.0275,-2.709350586
0.028,-2.684326172
0.0285,-2.735900879
0.029,-2.532653809
0.0295,-2.508850098
0.03,-2.62512207
0.0305,-2.479248047
0.031,-2.801208496
0.0315,-2.65838623
0.032,-2.655944824
0.0325,-2.472839355
0.033,-2.603759766
0.0335,-2.771606445
0.034,-2.755737305
0.0345,-2.844543457
0.035,-2.784423828
0.0355,-2.960205078
0.036,-2.929382324
0.0365,-2.835693359
0.037,-2.863769531
0.0375,-2.71270752
0.038,-2.640991211
0.0385,-2.748718262
0.039,-2.562561035
0.0395,-2.756958008
0.04,-2.737426758
0.0405,-2.653198242
0.041,-2.526245117
0.0415,-2.564086914
0.042,-2.777709961
0.0425,-2.666625977
0.043,-2.859802246
0.0435,-2.738952637
0.044,-2.963562012
0.0445,-3.018188477
0.045,-2.924499512
0.0455,-2.847595215
