Time,"CH 1, Ãþ¤ñ¿é¤J"
sec,V
0,-0.171813965
0.0005,-0.305175781
0.001,-0.598449707
0.0015,-0.514526367
0.002,-0.65826416
0.0025,-0.278930664
0.003,-0.726013184
0.0035,-0.462646484
0.004,-0.546569824
0.0045,-0.697021484
0.005,-0.725097656
0.0055,-0.661315918
0.006,-0.444335938
0.0065,-0.66986084
0.007,-0.699462891
0.0075,-0.660095215
0.008,-0.495910645
0.0085,-0.682373047
0.009,-0.518798828
0.0095,-0.335998535
0.01,-0.874938965
0.0105,-0.358581543
0.011,-0.279541016
0.0115,-0.227355957
0.012,-0.262756348
0.0125,-0.58013916
0.013,-0.66192627
0.0135,-0.567321777
0.014,-0.725402832
0.0145,-0.723266602
0.015,-0.447692871
0.0155,-0.533447266
0.016,-0.760498047
0.0165,-0.476989746
0.017,-0.330810547
0.0175,-0.749511719
0.018,-0.34576416
0.0185,-0.55847168
0.019,-0.485534668
0.0195,-0.311279297
0.02,-0.27130127
0.0205,-0.233154297
0.021,-0.444946289
0.0215,-0.682067871
0.022,-0.626831055
0.0225,-0.417175293
0.023,-0.715942383
0.0235,-0.637817383
0.024,-0.316162109
0.0245,-0.526428223
0.025,-0.381774902
0.0255,-0.671386719
0.026,-0.578918457
0.0265,-0.52734375
0.027,-0.603637695
0.0275,0.118103027
0.028,-0.221862793
0.0285,-0.451965332
0.029,-0.198669434
0.0295,-0.098571777
0.03,-0.326843262
0.0305,-0.567016602
0.031,-0.546875
0.0315,-0.433349609
0.032,-0.503234863
0.0325,-0.49987793
0.033,-0.357666016
0.0335,-0.311889648
0.034,-0.725402832
0.0345,-0.183410645
0.035,-0.117797852
0.0355,-0.191345215
0.036,0.224914551
0.0365,-0.26763916
0.037,-0.273742676
0.0375,-0.501708984
0.038,-0.238342285
0.0385,-0.011901855
0.039,-0.08026123
0.0395,-0.41229248
0.04,-0.424499512
0.0405,-0.284423828
0.041,-0.380249023
0.0415,-0.505371094
0.042,-0.151062012
0.0425,-0.278320313
0.043,-0.584411621
0.0435,-0.231628418
0.044,-0.04699707
0.0445,-0.007324219
0.045,-0.231018066
0.0455,-0.166931152
0.046,-0.09765625
0.0465,-0.285949707
0.047,-0.245056152
0.0475,0.002746582
0.048,0.009460449
0.0485,-0.429992676
0.049,-0.352478027
0.0495,-0.178527832
0.05,-0.41809082
0.0505,-0.232849121
0.051,-0.230712891
0.0515,-0.139770508
0.052,-0.403442383
0.0525,-0.317077637
0.053,-0.185241699
0.0535,-0.414733887
0.054,-0.289001465
0.0545,-0.231628418
0.055,0.028686523
0.0555,-0.202331543
0.056,-0.140380859
0.0565,0.030212402
0.057,0.063781738
0.0575,-0.41229248
0.058,-0.223999023
0.0585,-0.284118652
0.059,-0.168151855
0.0595,-0.379943848
0.06,-0.22644043
0.0605,0.065002441
0.061,-0.703125
0.0615,-0.288085938
0.062,-0.548095703
0.0625,-0.169677734
