Time,"CH 1, Ãþ¤ñ¿é¤J"
sec,V
0,-0.074157715
0.0005,-0.026550293
0.001,-0.166320801
0.0015,-0.215759277
0.002,-0.270385742
0.0025,-0.281066895
0.003,-0.080871582
0.0035,-0.002441406
0.004,-0.286865234
0.0045,-0.133666992
0.005,-0.138244629
0.0055,-0.242614746
0.006,-0.081787109
0.0065,-0.032043457
0.007,-0.031738281
0.0075,-0.191955566
0.008,-0.219726563
0.0085,-0.176696777
0.009,-0.335998535
0.0095,-0.313110352
0.01,-0.389404297
0.0105,-0.500488281
0.011,-0.434570313
0.0115,-0.204772949
0.012,-0.410461426
0.0125,-0.216064453
0.013,-0.286560059
0.0135,-0.368652344
0.014,-0.22857666
0.0145,-0.325622559
0.015,-0.16998291
0.0155,-0.208129883
0.016,-0.194396973
0.0165,-0.128479004
0.017,-0.235900879
0.0175,-0.19317627
0.018,-0.264892578
0.0185,-0.354614258
0.019,-0.348510742
0.0195,-0.458984375
0.02,-0.539245605
0.0205,-0.369873047
0.021,-0.419616699
0.0215,-0.49987793
0.022,-0.31829834
0.0225,-0.575561523
0.023,-0.430603027
0.0235,-0.599365234
0.024,-0.438232422
0.0245,-0.467224121
0.025,-0.492553711
0.0255,-0.316162109
0.026,-0.314025879
0.0265,-0.32989502
0.027,-0.140075684
0.0275,-0.252990723
0.028,-0.49041748
0.0285,-0.296630859
0.029,-0.532531738
0.0295,-0.505371094
0.03,-0.400390625
0.0305,-0.616455078
0.031,-0.526733398
0.0315,-0.681762695
0.032,-0.49041748
0.0325,-0.639648438
0.033,-0.704345703
0.0335,-0.443725586
0.034,-0.615844727
0.0345,-0.664978027
0.035,-0.584106445
0.0355,-0.583190918
0.036,-0.37322998
0.0365,-0.471191406
0.037,-0.707092285
0.0375,-0.688781738
0.038,-0.467529297
0.0385,-0.682983398
0.039,-0.491333008
0.0395,-0.473937988
0.04,-0.42175293
0.0405,-0.562438965
0.041,-0.734863281
0.0415,-0.567932129
0.042,-0.652770996
0.0425,-0.715637207
0.043,-0.786132813
0.0435,-0.862426758
0.044,-0.793457031
0.0445,-0.49621582
0.045,-0.70526123
0.0455,-0.587158203
0.046,-0.463562012
0.0465,-0.646362305
0.047,-0.53314209
0.0475,-0.532836914
0.048,-0.661315918
0.0485,-0.383300781
0.049,-0.49407959
0.0495,-0.353393555
0.05,-0.532531738
0.0505,-0.574035645
0.051,-0.509338379
0.0515,-0.647583008
0.052,-0.561523438
0.0525,-0.618286133
0.053,-0.76751709
0.0535,-0.543823242
0.054,-0.468139648
0.0545,-0.602722168
0.055,-0.47454834
0.0555,-0.501708984
0.056,-0.68359375
0.0565,-0.567016602
0.057,-0.530090332
0.0575,-0.370483398
0.058,-0.44342041
0.0585,-0.286254883
0.059,-0.35949707
0.0595,-0.309448242
0.06,-0.149230957
0.0605,-0.275878906
0.061,-0.359191895
0.0615,-0.304260254
0.062,-0.354003906
0.0625,-0.532836914
0.063,-0.338439941
0.0635,-0.527954102
0.064,-0.46661377
0.0645,-0.247497559
0.065,-0.54107666
0.0655,-0.373840332
0.066,-0.520324707
0.0665,-0.358886719
0.067,-0.403747559
0.0675,-0.538635254
0.068,-0.237426758
0.0685,-0.253295898
0.069,-0.098571777
0.0695,-0.269470215
0.07,-0.393676758
0.0705,-0.388183594
0.071,-0.182495117
0.0715,-0.331726074
0.072,-0.300598145
0.0725,-0.151672363
0.073,-0.370483398
0.0735,-0.304870605
0.074,-0.403747559
0.0745,-0.325622559
0.075,-0.308227539
0.0755,-0.442199707
0.076,-0.397033691
0.0765,-0.525817871
0.077,-0.393066406
0.0775,-0.360412598
0.078,-0.301208496
0.0785,-0.254211426
0.079,-0.031738281
0.0795,-0.327148438
0.08,-0.137329102
0.0805,-0.016479492
0.081,-0.107421875
0.0815,0.016174316
0.082,-0.213012695
0.0825,-0.131835938
0.083,-0.164794922
0.0835,-0.234375
0.084,-0.256958008
0.0845,-0.331726074
0.085,-0.207519531
0.0855,-0.175170898
0.086,-0.096130371
0.0865,-0.144042969
0.087,-0.004577637
0.0875,-0.191650391
0.088,-0.053710938
0.0885,-0.032653809
0.089,-0.184326172
0.0895,-0.027160645
0.09,-0.050048828
0.0905,0.148925781
0.091,0.048828125
0.0915,0.018615723
0.092,0.152587891
0.0925,-0.04119873
0.093,0.203552246
0.0935,0.092773438
0.094,-0.095214844
0.0945,0.009155273
0.095,0.04699707
0.0955,-0.192565918
0.096,-0.022277832
0.0965,0.029907227
0.097,-0.103759766
0.0975,0.078430176
0.098,-0.240478516
0.0985,0.008544922
0.099,-0.129089355
0.0995,-0.121459961
0.1,-0.000610352
0.1005,-0.068054199
0.101,0.22644043
0.1015,0.252685547
0.102,0.187072754
0.1025,0.299987793
0.103,0.070495605
0.1035,-0.079040527
0.104,0.1171875
0.1045,0.015869141
0.105,-0.066223145
0.1055,0.108337402
0.106,-0.150146484
0.1065,0.00579834
0.107,-0.069885254
0.1075,-0.030517578
0.108,-0.084533691
0.1085,-0.110778809
0.109,-0.047302246
0.1095,-0.121154785
0.11,-0.235290527
0.1105,0.006103516
0.111,-0.023193359
0.1115,-0.034484863
0.112,0.129394531
0.1125,0.05859375
0.113,0.001831055
0.1135,0.233764648
0.114,-0.01159668
0.1145,0.248718262
0.115,0.119628906
0.1155,0.1171875
0.116,0.086669922
0.1165,-0.000915527
0.117,0.130615234
0.1175,0.005493164
0.118,-0.067749023
0.1185,0.059204102
0.119,-0.053710938
0.1195,0.157470703
0.12,0.326538086
0.1205,0.123596191
0.121,0.187072754
0.1215,0.368652344
0.122,0.199890137
0.1225,0.274353027
0.123,0.481872559
0.1235,0.552368164
0.124,0.53527832
0.1245,0.426940918
0.125,0.524291992
0.1255,0.417785645
0.126,0.438232422
0.1265,0.526428223
0.127,0.310974121
0.1275,0.423583984
0.128,0.593261719
0.1285,0.376281738
0.129,0.508728027
0.1295,0.625
0.13,0.46081543
0.1305,0.592346191
0.131,0.657043457
0.1315,0.516357422
0.132,0.592041016
0.1325,0.539245605
0.133,0.699157715
0.1335,0.747070313
0.134,0.78704834
0.1345,0.889587402
0.135,0.896911621
0.1355,1.133117676
0.136,1.470336914
0.1365,1.394042969
0.137,0.609741211
0.1375,-0.022583008
0.138,0.138549805
0.1385,1.009521484
0.139,1.130371094
0.1395,0.754394531
0.14,0.585021973
0.1405,0.892333984
0.141,1.19934082
0.1415,0.814208984
0.142,0.690307617
0.1425,0.762939453
0.143,0.84564209
0.1435,0.90057373
0.144,0.813293457
0.1445,0.635986328
0.145,1.082458496
0.1455,1.064758301
0.146,0.921936035
0.1465,1.166687012
0.147,1.159057617
0.1475,0.985107422
0.148,0.687561035
0.1485,0.625915527
0.149,0.819091797
0.1495,0.798950195
0.15,0.79498291
0.1505,0.679321289
0.151,0.555419922
0.1515,0.887145996
0.152,0.896911621
0.1525,0.600891113
0.153,0.659484863
0.1535,0.775146484
0.154,0.81451416
0.1545,0.881347656
0.155,0.523071289
0.1555,0.542297363
0.156,0.840454102
0.1565,0.979614258
0.157,0.823974609
0.1575,0.553283691
0.158,0.641784668
0.1585,0.692443848
0.159,0.44342041
0.1595,0.459594727
0.16,0.311584473
0.1605,0.325012207
0.161,0.625
0.1615,0.516662598
0.162,0.38848877
0.1625,0.567321777
0.163,0.34576416
0.1635,0.441589355
0.164,0.52154541
0.1645,0.321655273
0.165,0.460205078
0.1655,0.437927246
0.166,0.553283691
0.1665,0.506896973
0.167,0.430603027
0.1675,0.659484863
0.168,0.536499023
0.1685,0.519104004
0.169,0.390930176
0.1695,0.234375
0.17,0.212097168
0.1705,0.366821289
0.171,0.129394531
0.1715,0.223693848
0.172,0.375061035
0.1725,0.174560547
0.173,0.187072754
0.1735,0.08605957
0.174,0.197143555
0.1745,0.210876465
0.175,0.182495117
0.1755,0.332946777
0.176,0.395812988
0.1765,0.490722656
0.177,0.499267578
0.1775,0.317687988
0.178,0.299072266
0.1785,0.46875
0.179,0.231323242
0.1795,0.363464355
0.18,0.366210938
0.1805,0.211181641
0.181,0.399780273
0.1815,0.110778809
0.182,0.257263184
0.1825,0.221557617
0.183,0.27923584
0.1835,0.327453613
0.184,0.200195313
0.1845,0.220947266
0.185,0.170593262
0.1855,0.129699707
0.186,0.375366211
0.1865,0.40802002
0.187,0.19744873
0.1875,0.315856934
0.188,0.355529785
0.1885,0.260009766
