Time,"CH 1, Ãþ¤ñ¿é¤J"
sec,V
0,-2.327880859
0.0005,-2.359313965
0.001,-2.633361816
0.0015,-2.606201172
0.002,-2.7734375
0.0025,-2.382507324
0.003,-2.027587891
0.0035,-1.928710938
0.004,-2.191467285
0.0045,-2.553710938
0.005,-2.293395996
0.0055,-2.066345215
0.006,-1.89666748
0.0065,-2.781677246
0.007,-2.789001465
0.0075,-2.366027832
0.008,-2.320556641
0.0085,-2.328491211
0.009,-2.57598877
0.0095,-2.688903809
0.01,-2.529907227
0.0105,-2.090454102
0.011,-2.18536377
0.0115,-2.193603516
0.012,-2.125244141
0.0125,-2.442626953
0.013,-2.464904785
0.0135,-2.32208252
0.014,-2.243347168
0.0145,-2.587585449
0.015,-2.700195313
0.0155,-2.485351563
0.016,-2.405090332
0.0165,-2.635498047
0.017,-2.578430176
0.0175,-2.470092773
0.018,-2.160339355
0.0185,-2.525024414
0.019,-2.278747559
0.0195,-2.586669922
0.02,-2.509155273
0.0205,-1.960449219
0.021,-2.426757813
0.0215,-2.293701172
0.022,-2.795410156
0.0225,-2.990112305
0.023,-2.532043457
0.0235,-2.408752441
0.024,-2.824401855
0.0245,-2.392272949
0.025,-2.563781738
0.0255,-2.421569824
0.026,-2.176208496
0.0265,-2.24822998
0.027,-2.322998047
0.0275,-2.264709473
0.028,-2.649536133
0.0285,-2.396240234
0.029,-2.519226074
0.0295,-2.283630371
0.03,-2.448120117
0.0305,-2.684020996
0.031,-2.523803711
0.0315,-2.239990234
0.032,-2.344970703
0.0325,-2.582702637
0.033,-2.549438477
0.0335,-2.302856445
0.034,-2.308044434
0.0345,-2.216796875
0.035,-2.12677002
0.0355,-2.103271484
0.036,-2.152709961
0.0365,-2.067565918
0.037,-2.585144043
0.0375,-2.605895996
0.038,-2.548522949
0.0385,-2.120361328
0.039,-2.130737305
0.0395,-2.242431641
0.04,-2.449951172
0.0405,-2.001342773
0.041,-2.338562012
0.0415,-1.739501953
0.042,-1.915893555
0.0425,-1.743469238
0.043,-1.777038574
0.0435,-1.749267578
0.044,-1.725158691
0.0445,-2.325134277
0.045,-2.256164551
0.0455,-2.36328125
0.046,-2.005310059
0.0465,-1.981811523
0.047,-1.923522949
0.0475,-1.458129883
0.048,-2.329711914
0.0485,-1.770629883
0.049,-1.539916992
0.0495,-1.762390137
0.05,-1.546936035
0.0505,-1.542663574
