Time,"CH 1, Ãþ¤ñ¿é¤J"
sec,V
0,-0.267944336
0.0005,-0.173950195
0.001,-0.186767578
0.0015,-0.186767578
0.002,-0.111694336
0.0025,-0.20111084
0.003,-0.102233887
0.0035,-0.04699707
0.004,-0.153808594
0.0045,-0.096130371
0.005,-0.202636719
0.0055,-0.082092285
0.006,-0.064697266
0.0065,-0.037231445
0.007,-0.044555664
0.0075,-0.143127441
0.008,-0.06652832
0.0085,-0.108337402
0.009,-0.065002441
0.0095,-0.155944824
0.01,-0.169067383
0.0105,-0.047302246
0.011,-0.113220215
0.0115,-0.144348145
0.012,-0.082092285
0.0125,-0.132751465
0.013,-0.085754395
0.0135,-0.111694336
0.014,-0.084533691
0.0145,-0.132751465
0.015,-0.118408203
0.0155,-0.11138916
0.016,-0.189819336
0.0165,-0.12512207
0.017,-0.08392334
0.0175,-0.02746582
0.018,-0.041503906
0.0185,-0.067443848
0.019,-0.024719238
0.0195,0.00793457
0.02,-0.09765625
0.0205,0.002746582
0.021,-0.138244629
0.0215,-0.101013184
0.022,0.003051758
0.0225,-0.02166748
0.023,-0.038146973
0.0235,-0.118713379
0.024,-0.006408691
0.0245,-0.09765625
0.025,-0.026550293
0.0255,-0.134277344
0.026,-0.153808594
0.0265,-0.162658691
0.027,-0.096435547
0.0275,-0.092163086
0.028,-0.006713867
0.0285,-0.08392334
0.029,-0.046081543
0.0295,-0.098266602
0.03,-0.100402832
0.0305,-0.061950684
0.031,-0.014038086
0.0315,-0.052490234
0.032,-0.098266602
0.0325,-0.026550293
0.033,-0.075683594
0.0335,0.046386719
0.034,0.074462891
0.0345,-0.006408691
0.035,0.125732422
0.0355,-0.015258789
0.036,-0.072631836
0.0365,0.035705566
0.037,-0.096130371
0.0375,-0.022888184
0.038,0.000610352
0.0385,-0.062561035
0.039,-0.027160645
0.0395,-0.10925293
0.04,-0.082092285
0.0405,-0.101013184
0.041,0.02166748
0.0415,-0.043029785
0.042,-0.099182129
0.0425,-0.136108398
0.043,-0.165710449
0.0435,-0.048522949
0.044,0.024108887
0.0445,-0.068054199
0.045,-0.026855469
0.0455,-0.078125
0.046,-0.07598877
0.0465,0.031738281
0.047,-0.043945313
0.0475,0.021362305
0.048,-0.068054199
0.0485,0.068969727
0.049,-0.00213623
0.0495,0.082702637
0.05,0.05859375
0.0505,0.046691895
0.051,0.130004883
0.0515,0.057067871
0.052,-0.071716309
0.0525,0.05279541
0.053,-0.068359375
0.0535,-0.007629395
0.054,0.058898926
0.0545,-0.063171387
0.055,0.050048828
0.0555,-0.07598877
0.056,-0.04486084
0.0565,-0.069580078
0.057,0.027160645
0.0575,-0.044555664
0.058,0.016784668
0.0585,-0.076904297
0.059,-0.134887695
0.0595,-0.070495605
0.06,-0.074157715
0.0605,-0.038757324
0.061,0.042724609
0.0615,-0.057067871
0.062,-0.01739502
0.0625,0.09185791
0.063,0.017089844
0.0635,0.043029785
0.064,0.067443848
0.0645,0.122680664
0.065,0.067443848
0.0655,0.09979248
0.066,0.071411133
0.0665,0.010681152
0.067,0.130004883
0.0675,0.11138916
0.068,0.108947754
0.0685,0.042419434
0.069,-0.075073242
0.0695,0.05645752
0.07,0.04486084
0.0705,-0.027770996
0.071,0.070800781
0.0715,-0.038146973
0.072,0.062866211
0.0725,-0.093994141
0.073,0.02532959
0.0735,-0.0390625
0.074,0.059814453
0.0745,0.010070801
0.075,-0.040893555
0.0755,-0.00579834
0.076,-0.034179688
0.0765,0.04119873
0.077,0.048522949
0.0775,-0.031433105
0.078,0.006408691
0.0785,0.107116699
0.079,0.004577637
0.0795,0.091552734
0.08,-0.051879883
0.0805,0.006408691
0.081,0.086975098
0.0815,0.13458252
0.082,0.050964355
0.0825,0
0.083,0.049133301
0.0835,0.048828125
0.084,0.061950684
0.0845,0.003967285
0.085,-0.059204102
0.0855,0.067749023
0.086,0.011901855
0.0865,-0.046081543
0.087,0.022583008
0.0875,-0.076904297
0.088,-0.02532959
0.0885,-0.016174316
0.089,-0.05645752
0.0895,-0.130615234
0.09,-0.011291504
0.0905,-0.09765625
0.091,-0.149841309
0.0915,-0.088806152
0.092,-0.129089355
0.0925,-0.027770996
0.093,0.008850098
0.0935,-0.121765137
0.094,-0.045471191
0.0945,-0.025024414
0.095,-0.120849609
0.0955,-0.056152344
0.096,-0.166931152
0.0965,-0.119934082
0.097,-0.103759766
0.0975,0.003967285
0.098,-0.060119629
0.0985,-0.129089355
0.099,-0.096435547
0.0995,-0.120239258
0.1,-0.117492676
0.1005,-0.179748535
0.101,-0.213317871
0.1015,-0.232849121
0.102,-0.169067383
0.1025,-0.148010254
0.103,-0.093994141
0.1035,-0.213928223
0.104,-0.179748535
0.1045,-0.201721191
0.105,-0.171203613
0.1055,-0.216369629
0.106,-0.203857422
0.1065,-0.22644043
0.107,-0.304260254
0.1075,-0.216674805
0.108,-0.248413086
0.1085,-0.115661621
0.109,-0.095825195
0.1095,-0.157165527
0.11,-0.066833496
0.1105,-0.18371582
0.111,-0.307006836
0.1115,-0.191955566
0.112,-0.315551758
0.1125,-0.249633789
0.113,-0.217590332
0.1135,-0.291442871
0.114,-0.21697998
0.1145,-0.259094238
0.115,-0.285949707
0.1155,-0.344543457
0.116,-0.303649902
0.1165,-0.352478027
0.117,-0.375671387
0.1175,-0.385131836
0.118,-0.426940918
0.1185,-0.315856934
0.119,-0.224304199
0.1195,-0.343322754
0.12,-0.267333984
0.1205,-0.297851563
0.121,-0.342102051
0.1215,-0.249633789
0.122,-0.348510742
0.1225,-0.360717773
0.123,-0.357971191
0.1235,-0.253601074
0.124,-0.27557373
0.1245,-0.210571289
0.125,-0.206604004
0.1255,-0.233154297
0.126,-0.129699707
0.1265,-0.169067383
0.127,-0.270385742
0.1275,-0.235900879
0.128,-0.354614258
0.1285,-0.302734375
0.129,-0.218811035
0.1295,-0.301818848
0.13,-0.261535645
0.1305,-0.38482666
0.131,-0.309143066
0.1315,-0.325317383
0.132,-0.281677246
0.1325,-0.323791504
0.133,-0.330200195
0.1335,-0.377502441
0.134,-0.394592285
0.1345,-0.278320313
0.135,-0.333251953
0.1355,-0.263977051
0.136,-0.196228027
0.1365,-0.26550293
0.137,-0.250244141
0.1375,-0.153198242
0.138,-0.23651123
0.1385,-0.099182129
0.139,-0.276794434
0.1395,-0.180664063
0.14,-0.141906738
0.1405,-0.095214844
0.141,-0.072021484
0.1415,-0.16418457
0.142,-0.028991699
0.1425,-0.044555664
0.143,-0.068969727
0.1435,-0.130615234
0.144,-0.311584473
0.1445,-0.175170898
0.145,-0.146484375
0.1455,-0.205078125
0.146,-0.093383789
0.1465,-0.218811035
0.147,-0.19744873
0.1475,-0.240478516
0.148,-0.198669434
0.1485,-0.207214355
0.149,-0.229187012
0.1495,-0.205078125
0.15,-0.214233398
0.1505,-0.211181641
0.151,-0.23223877
0.1515,-0.202026367
0.152,-0.110778809
0.1525,-0.211486816
0.153,-0.101318359
0.1535,-0.018310547
0.154,-0.126953125
0.1545,-0.070800781
0.155,-0.173950195
0.1555,-0.05645752
0.156,-0.039672852
0.1565,-0.015258789
0.157,-0.02166748
0.1575,-0.13092041
0.158,-0.017700195
0.1585,-0.003967285
0.159,-0.034484863
0.1595,-0.071105957
0.16,-0.124511719
0.1605,-0.062561035
0.161,-0.098571777
0.1615,-0.159606934
0.162,-0.054626465
0.1625,-0.130310059
0.163,-0.082397461
0.1635,-0.083007813
0.164,-0.098571777
0.1645,-0.113525391
0.165,-0.109863281
0.1655,-0.112304688
0.166,-0.140075684
0.1665,-0.018310547
0.167,-0.104370117
0.1675,-0.019836426
0.168,0.025939941
0.1685,-0.084533691
0.169,0.071411133
0.1695,0.129394531
0.17,0.034179688
0.1705,0.125732422
0.171,0.003662109
0.1715,0.073852539
0.172,0.167236328
0.1725,0.187072754
0.173,0.186462402
0.1735,0.118713379
0.174,0.232543945
0.1745,0.165100098
0.175,0.185852051
0.1755,0.187988281
0.176,0.157470703
0.1765,0.117492676
0.177,0.168457031
0.1775,0.196228027
0.178,0.278625488
0.1785,0.198059082
0.179,0.260620117
0.1795,0.240478516
0.18,0.261535645
0.1805,0.310974121
0.181,0.291748047
0.1815,0.289916992
0.182,0.22064209
0.1825,0.313415527
0.183,0.314025879
0.1835,0.38269043
0.184,0.439453125
0.1845,0.346679688
0.185,0.46081543
0.1855,0.415344238
0.186,0.369567871
0.1865,0.489196777
0.187,0.317993164
0.1875,0.404663086
0.188,0.415344238
0.1885,0.400695801
0.189,0.464477539
0.1895,0.42388916
0.19,0.494384766
0.1905,0.396118164
0.191,0.492248535
0.1915,0.443725586
0.192,0.430908203
0.1925,0.372924805
0.193,0.349121094
0.1935,0.416259766
0.194,0.509338379
0.1945,0.406494141
0.195,0.515441895
0.1955,0.41809082
0.196,0.470581055
0.1965,0.504455566
0.197,0.418395996
0.1975,0.442810059
0.198,0.381774902
0.1985,0.52734375
0.199,0.487060547
0.1995,0.510864258
0.2,0.536499023
0.2005,0.527038574
0.201,0.653381348
0.2015,0.636901855
0.202,0.498962402
0.2025,0.567016602
0.203,0.42388916
0.2035,0.512390137
0.204,0.552062988
0.2045,0.478820801
0.205,0.584716797
0.2055,0.487365723
0.206,0.49621582
0.2065,0.43762207
0.207,0.50567627
0.2075,0.45715332
0.208,0.554504395
0.2085,0.400390625
0.209,0.332336426
0.2095,0.450439453
0.21,0.416564941
0.2105,0.425109863
0.211,0.537719727
0.2115,0.409240723
0.212,0.479125977
0.2125,0.53894043
0.213,0.463867188
0.2135,0.559997559
0.214,0.468444824
0.2145,0.571289063
0.215,0.504455566
0.2155,0.539245605
0.216,0.543823242
0.2165,0.476989746
0.217,0.606384277
0.2175,0.624084473
0.218,0.654296875
0.2185,0.602111816
0.219,0.429992676
0.2195,0.544433594
0.22,0.547180176
0.2205,0.508422852
0.221,0.562744141
0.2215,0.489807129
0.222,0.558166504
0.2225,0.384216309
0.223,0.5078125
0.2235,0.442199707
0.224,0.563659668
0.2245,0.501403809
0.225,0.472106934
0.2255,0.449829102
0.226,0.414733887
0.2265,0.439758301
0.227,0.563049316
0.2275,0.382080078
0.228,0.47454834
0.2285,0.52947998
0.229,0.469055176
0.2295,0.574035645
0.23,0.408630371
0.2305,0.49621582
0.231,0.512390137
0.2315,0.556030273
0.232,0.525817871
0.2325,0.416870117
0.233,0.523071289
0.2335,0.530700684
0.234,0.575866699
0.2345,0.501708984
0.235,0.447387695
0.2355,0.477294922
0.236,0.389709473
0.2365,0.358886719
0.237,0.425720215
0.2375,0.316467285
0.238,0.378417969
0.2385,0.344238281
0.239,0.34942627
0.2395,0.281066895
0.24,0.341796875
0.2405,0.30670166
0.241,0.284118652
0.2415,0.323486328
0.242,0.230712891
0.2425,0.294189453
0.243,0.259399414
0.2435,0.206298828
0.244,0.306396484
0.2445,0.361633301
0.245,0.298461914
0.2455,0.379333496
0.246,0.260314941
0.2465,0.330200195
0.247,0.357055664
0.2475,0.475158691
0.248,0.456848145
0.2485,0.397949219
0.249,0.457763672
0.2495,0.329284668
0.25,0.452880859
0.2505,0.429992676
0.251,0.426025391
0.2515,0.433349609
0.252,0.42175293
0.2525,0.461730957
0.253,0.531311035
0.2535,0.481262207
0.254,0.54901123
0.2545,0.542297363
0.255,0.542602539
0.2555,0.518798828
0.256,0.69732666
0.2565,0.5859375
0.257,0.646057129
0.2575,0.704650879
0.258,0.727539063
0.2585,0.81237793
0.259,0.827331543
0.2595,0.805664063
0.26,0.972290039
0.2605,0.990905762
0.261,0.970153809
0.2615,1.072387695
0.262,0.959472656
0.2625,1.080627441
0.263,1.158752441
0.2635,1.137695313
0.264,1.330871582
0.2645,1.32232666
0.265,1.354064941
0.2655,1.338806152
0.266,1.407470703
0.2665,1.389160156
0.267,1.444396973
0.2675,1.421203613
0.268,1.448669434
0.2685,1.593322754
0.269,1.71875
0.2695,1.668395996
0.27,1.735229492
0.2705,1.740112305
0.271,1.781311035
0.2715,1.912231445
0.272,1.839599609
0.2725,1.866760254
0.273,1.878967285
0.2735,1.982727051
0.274,2.004089355
0.2745,2.116088867
0.275,2.150878906
0.2755,2.166137695
0.276,2.34161377
0.2765,2.364807129
0.277,2.262573242
0.2775,2.379455566
0.278,2.269897461
0.2785,2.366333008
0.279,2.44140625
0.2795,2.408752441
0.28,2.519226074
0.2805,2.417907715
0.281,2.568969727
0.2815,2.545776367
0.282,2.598876953
0.2825,2.545471191
0.283,2.529296875
0.2835,2.547302246
0.284,2.535705566
0.2845,2.617797852
0.285,2.61138916
0.2855,2.720031738
0.286,2.830810547
0.2865,2.781677246
0.287,2.781982422
0.2875,2.881469727
0.288,2.752380371
0.2885,2.875976563
0.289,2.72064209
0.2895,2.818603516
0.29,2.81463623
0.2905,2.823486328
0.291,2.858581543
0.2915,2.778930664
0.292,2.929077148
0.2925,2.902526855
0.293,2.916259766
0.2935,2.763977051
0.294,2.55279541
0.2945,2.610778809
0.295,2.633056641
0.2955,2.536315918
0.296,2.568664551
0.2965,2.451171875
0.297,2.454223633
0.2975,2.354125977
0.298,2.318725586
0.2985,2.207336426
0.299,2.167358398
0.2995,2.147827148
0.3,2.112731934
0.3005,1.956176758
0.301,1.91619873
0.3015,1.893920898
0.302,1.943969727
0.3025,1.817932129
0.303,1.748657227
0.3035,1.751403809
0.304,1.633605957
0.3045,1.66595459
0.305,1.574401855
0.3055,1.564025879
0.306,1.471252441
0.3065,1.455993652
0.307,1.449279785
0.3075,1.278381348
0.308,1.337890625
0.3085,1.307373047
0.309,1.270751953
0.3095,1.193847656
0.31,1.049194336
0.3105,0.994567871
0.311,0.93170166
0.3115,0.831298828
0.312,0.882568359
0.3125,0.689697266
0.313,0.723876953
0.3135,0.682983398
0.314,0.653686523
0.3145,0.552062988
0.315,0.493469238
0.3155,0.454711914
0.316,0.434875488
0.3165,0.434570313
0.317,0.29083252
0.3175,0.334472656
0.318,0.282287598
0.3185,0.260620117
0.319,0.304870605
0.3195,0.357971191
0.32,0.247497559
0.3205,0.334777832
0.321,0.211791992
0.3215,0.209655762
0.322,0.241699219
0.3225,0.263061523
0.323,0.212097168
0.3235,0.131225586
0.324,0.188903809
0.3245,0.100708008
0.325,0.10559082
0.3255,0.130310059
0.326,0.032653809
0.3265,0.047302246
0.327,-0.023498535
0.3275,-0.059814453
0.328,0.010986328
0.3285,-0.101928711
0.329,-0.058898926
0.3295,-0.0390625
0.33,-0.102844238
0.3305,-0.025634766
0.331,-0.126342773
0.3315,-0.104980469
0.332,-0.146484375
0.3325,-0.085144043
0.333,-0.089111328
0.3335,-0.110473633
0.334,-0.100097656
0.3345,-0.159301758
0.335,-0.030822754
0.3355,-0.009765625
0.336,-0.08026123
0.3365,0.003051758
0.337,-0.090332031
0.3375,-0.069274902
0.338,0.02166748
0.3385,-0.088806152
0.339,0.067749023
0.3395,-0.009460449
0.34,0.053100586
0.3405,0.021972656
0.341,0.050048828
0.3415,0.079345703
0.342,0.024719238
0.3425,0.062561035
0.343,-0.001831055
0.3435,0.078125
0.344,0.191955566
0.3445,0.061340332
0.345,0.17578125
0.3455,0.213012695
0.346,0.177001953
0.3465,0.289306641
0.347,0.178833008
0.3475,0.267944336
0.348,0.248413086
0.3485,0.328063965
0.349,0.360717773
0.3495,0.371704102
0.35,0.476379395
0.3505,0.475769043
0.351,0.574645996
0.3515,0.601501465
0.352,0.543212891
0.3525,0.691833496
0.353,0.594177246
0.3535,0.63659668
0.354,0.740661621
0.3545,0.69519043
0.355,0.829162598
0.3555,0.724487305
0.356,0.84197998
0.3565,0.82824707
0.357,0.922851563
0.3575,0.890197754
0.358,0.87310791
0.3585,0.924377441
0.359,0.934448242
0.3595,0.991210938
0.36,0.972900391
0.3605,1.003112793
0.361,1.16027832
0.3615,1.162719727
0.362,1.142272949
0.3625,1.236572266
0.363,1.193237305
0.3635,1.306152344
0.364,1.234436035
0.3645,1.323242188
0.365,1.328735352
0.3655,1.405639648
0.366,1.46484375
0.3665,1.371459961
0.367,1.571960449
0.3675,1.54510498
0.368,1.633911133
0.3685,1.589050293
0.369,1.458435059
0.3695,1.52557373
0.37,1.561889648
0.3705,1.536865234
0.371,1.635437012
0.3715,1.557006836
0.372,1.623840332
0.3725,1.54296875
0.373,1.666870117
0.3735,1.624450684
0.374,1.627807617
0.3745,1.721191406
0.375,1.69921875
0.3755,1.622009277
0.376,1.643371582
0.3765,1.676635742
0.377,1.846618652
0.3775,1.744995117
0.378,1.765441895
0.3785,1.832580566
0.379,1.78894043
0.3795,1.833190918
0.38,1.844787598
0.3805,1.914978027
0.381,1.899719238
0.3815,1.978149414
0.382,2.015380859
0.3825,1.951599121
0.383,2.088012695
0.3835,2.112121582
0.384,2.164611816
0.3845,2.142944336
0.385,2.070922852
0.3855,2.037963867
0.386,2.113342285
0.3865,2.041625977
0.387,2.151794434
0.3875,2.025146484
0.388,2.125549316
0.3885,2.197265625
0.389,2.139892578
0.3895,2.161560059
0.39,2.106323242
0.3905,2.204284668
0.391,2.156677246
0.3915,2.272949219
0.392,2.095031738
0.3925,2.145385742
0.393,2.199707031
0.3935,2.182006836
0.394,2.214355469
0.3945,2.321472168
0.395,2.250061035
0.3955,2.327575684
0.396,2.293395996
0.3965,2.287597656
0.397,2.353515625
0.3975,2.413330078
0.398,2.402954102
0.3985,2.375793457
0.399,2.483520508
0.3995,2.378234863
0.4,2.392578125
0.4005,2.454223633
0.401,2.342224121
0.4015,2.31262207
0.402,2.266845703
0.4025,2.190551758
0.403,2.331237793
0.4035,2.178344727
0.404,2.256164551
0.4045,2.259521484
0.405,2.213439941
0.4055,2.111206055
0.406,2.100219727
0.4065,2.141723633
0.407,2.039489746
0.4075,2.048950195
0.408,1.9921875
0.4085,1.995239258
0.409,1.957092285
0.4095,1.938781738
0.41,2.00958252
0.4105,2.018432617
0.411,1.896972656
0.4115,1.954040527
0.412,1.836547852
0.4125,1.819152832
0.413,1.851806641
0.4135,1.704406738
0.414,1.840820313
0.4145,1.711120605
0.415,1.744384766
0.4155,1.703491211
0.416,1.690063477
0.4165,1.582641602
0.417,1.513671875
0.4175,1.530456543
0.418,1.493530273
0.4185,1.477966309
0.419,1.553649902
0.4195,1.33392334
0.42,1.410827637
0.4205,1.396789551
0.421,1.300354004
