Time,"CH 1, Ãþ¤ñ¿é¤J"
sec,V
0,-0.575256348
0.0005,-0.19744873
0.001,-0.491638184
0.0015,-0.467224121
0.002,-0.354919434
0.0025,-0.227050781
0.003,-0.155639648
0.0035,-0.393981934
0.004,-0.195007324
0.0045,-0.082702637
0.005,-0.333862305
0.0055,-0.133972168
0.006,-0.158081055
0.0065,0.183410645
0.007,-0.161743164
0.0075,-0.086975098
0.008,0.086669922
0.0085,-0.093078613
0.009,0.12298584
0.0095,0.098266602
0.01,0.321044922
0.0105,0.037231445
0.011,0.095214844
0.0115,0.257873535
0.012,0.436096191
0.0125,0.378723145
0.013,0.595703125
0.0135,0.505981445
0.014,0.560302734
0.0145,0.437011719
0.015,0.55847168
0.0155,0.661315918
0.016,0.415649414
0.0165,0.697021484
0.017,0.317687988
0.0175,0.622253418
0.018,0.359802246
0.0185,0.364074707
0.019,0.502929688
0.0195,0.532226563
0.02,0.549926758
0.0205,0.572814941
0.021,0.642089844
0.0215,0.273742676
0.022,0.316772461
0.0225,0.312194824
0.023,0.61920166
0.0235,0.146789551
0.024,0.532531738
0.0245,0.194396973
0.025,0.424194336
0.0255,0.540771484
0.026,0.658874512
0.0265,0.563354492
0.027,0.242004395
0.0275,0.187072754
0.028,0.300598145
0.0285,0.283813477
0.029,0.013122559
0.0295,-0.02166748
0.03,0.036315918
0.0305,-0.228881836
0.031,-0.130004883
0.0315,-0.078430176
0.032,-0.162353516
0.0325,-0.094604492
0.033,-0.577697754
0.0335,-0.322265625
0.034,-0.571899414
0.0345,-0.51940918
0.035,-0.567016602
0.0355,-0.362548828
0.036,-0.682983398
0.0365,-0.645751953
0.037,-0.369262695
0.0375,-0.453186035
0.038,-0.727844238
0.0385,-0.346069336
0.039,-0.582275391
0.0395,-1.00189209
0.04,-1.046142578
0.0405,-1.098937988
0.041,-1.179504395
0.0415,-1.525268555
0.042,-0.953063965
0.0425,-1.147766113
0.043,-1.408691406
0.0435,-1.649780273
0.044,-1.467590332
0.0445,-1.283569336
0.045,-1.562805176
0.0455,-1.69128418
0.046,-1.708374023
0.0465,-1.672668457
0.047,-1.931762695
0.0475,-2.033996582
0.048,-1.760559082
0.0485,-1.968383789
0.049,-2.151489258
0.0495,-1.772766113
0.05,-1.883544922
0.0505,-2.100524902
0.051,-1.913146973
0.0515,-2.036132813
0.052,-2.185668945
0.0525,-2.463378906
0.053,-2.388916016
0.0535,-2.32635498
0.054,-2.431640625
0.0545,-2.537841797
0.055,-2.357177734
0.0555,-2.58026123
0.056,-2.687988281
0.0565,-2.474365234
0.057,-2.409667969
0.0575,-2.538757324
0.058,-2.17956543
0.0585,-2.240905762
0.059,-2.811584473
0.0595,-2.694396973
0.06,-2.665710449
0.0605,-2.508239746
0.061,-2.343444824
0.0615,-2.339782715
0.062,-2.293701172
0.0625,-2.079162598
0.063,-2.132568359
0.0635,-2.032165527
0.064,-1.922607422
0.0645,-2.311401367
0.065,-2.325439453
0.0655,-1.930847168
0.066,-2.018737793
0.0665,-1.907958984
0.067,-1.934509277
0.0675,-1.951293945
0.068,-1.784973145
0.0685,-1.940002441
0.069,-1.820678711
0.0695,-1.592407227
0.07,-1.497192383
0.0705,-1.704711914
0.071,-1.430053711
0.0715,-1.340332031
0.072,-1.450805664
0.0725,-1.415710449
0.073,-1.132202148
0.0735,-1.331176758
0.074,-0.914306641
0.0745,-0.727844238
0.075,-0.828857422
0.0755,-0.712280273
0.076,-0.893249512
0.0765,-0.765686035
0.077,-0.505065918
0.0775,-0.770568848
0.078,-0.66192627
0.0785,-0.365905762
0.079,-0.210876465
0.0795,-0.43548584
0.08,-0.29296875
0.0805,-0.411376953
0.081,-0.259399414
0.0815,0.314941406
0.082,0.221557617
0.0825,0.338134766
0.083,0.140991211
0.0835,0.106201172
0.084,0.210266113
0.0845,0.101623535
0.085,0.282287598
0.0855,0.563049316
0.086,0.913391113
0.0865,0.77911377
0.087,0.860290527
0.0875,1.030883789
0.088,1.264648438
0.0885,1.193847656
0.089,1.288452148
0.0895,1.300354004
0.09,1.290283203
0.0905,1.23260498
0.091,1.010742188
0.0915,1.087341309
0.092,1.050720215
0.0925,1.564025879
0.093,1.734313965
0.0935,1.627807617
0.094,1.647033691
0.0945,1.730651855
0.095,2.084960938
0.0955,1.791992188
0.096,1.819152832
0.0965,1.897888184
0.097,1.728210449
0.0975,1.829528809
0.098,1.935119629
0.0985,2.201538086
0.099,2.174987793
0.0995,2.025146484
0.1,2.08984375
0.1005,2.01171875
0.101,2.302856445
0.1015,2.130432129
0.102,2.251281738
0.1025,2.133178711
0.103,2.07244873
0.1035,2.067871094
0.104,2.211914063
0.1045,1.830749512
0.105,1.800842285
0.1055,1.944274902
0.106,2.127685547
0.1065,1.970825195
0.107,1.903991699
0.1075,2.105712891
0.108,1.610412598
0.1085,1.796264648
0.109,1.730651855
0.1095,1.858520508
0.11,1.743774414
0.1105,2.001953125
0.111,2.182922363
0.1115,2.118225098
0.112,1.918945313
0.1125,1.81854248
0.113,1.93939209
0.1135,1.531982422
0.114,1.715393066
0.1145,1.878051758
0.115,1.616516113
0.1155,1.774902344
0.116,1.690673828
0.1165,1.622924805
0.117,1.447143555
0.1175,1.480102539
0.118,1.667480469
0.1185,1.748962402
0.119,1.479492188
0.1195,1.431884766
0.12,1.614379883
0.1205,1.377868652
0.121,1.17401123
0.1215,1.30279541
0.122,1.423339844
0.1225,1.305236816
0.123,1.418762207
0.1235,1.567993164
0.124,1.262207031
0.1245,1.469116211
0.125,1.233520508
0.1255,1.445007324
0.126,1.02935791
0.1265,0.880432129
0.127,1.005554199
0.1275,1.087036133
0.128,0.782165527
0.1285,0.729675293
0.129,0.93963623
0.1295,0.690002441
0.13,0.631713867
0.1305,0.783996582
0.131,0.539245605
0.1315,0.419616699
0.132,0.549316406
0.1325,0.434265137
0.133,0.420837402
0.1335,0.137634277
0.134,0.213012695
0.1345,0.234985352
0.135,-0.022583008
0.1355,0.210571289
0.136,0.307312012
0.1365,0.262756348
0.137,-0.091552734
0.1375,-0.129394531
0.138,0.043334961
0.1385,-0.188293457
0.139,-0.238037109
0.1395,-0.235595703
0.14,-0.440979004
0.1405,-0.523376465
0.141,-0.419616699
0.1415,-0.465087891
0.142,-0.567626953
0.1425,-0.492248535
0.143,-0.387878418
0.1435,-0.438537598
0.144,-0.847473145
0.1445,-0.782470703
0.145,-0.696411133
0.1455,-0.76385498
0.146,-1.058654785
0.1465,-0.889892578
0.147,-0.755004883
0.1475,-0.838928223
0.148,-0.926208496
0.1485,-0.693359375
0.149,-0.696105957
0.1495,-0.717468262
0.15,-0.641479492
0.1505,-0.851745605
0.151,-0.872497559
0.1515,-1.078796387
0.152,-1.06628418
0.1525,-0.918884277
0.153,-1.070861816
0.1535,-1.141052246
0.154,-1.099853516
0.1545,-0.953369141
0.155,-1.012878418
0.1555,-1.074523926
0.156,-1.055603027
0.1565,-1.064147949
0.157,-0.797729492
0.1575,-0.865783691
0.158,-1.16973877
0.1585,-1.015014648
0.159,-1.166687012
0.1595,-0.945739746
0.16,-0.718994141
0.1605,-0.809936523
0.161,-0.817260742
0.1615,-0.68939209
0.162,-0.863647461
0.1625,-0.885925293
0.163,-0.788269043
0.1635,-0.94909668
0.164,-1.006774902
0.1645,-0.661315918
0.165,-0.835571289
0.1655,-0.878295898
0.166,-0.675964355
0.1665,-0.632019043
0.167,-0.749816895
0.1675,-0.736083984
0.168,-0.638427734
0.1685,-0.45715332
0.169,-0.491333008
0.1695,-0.657043457
0.17,-0.581359863
0.1705,-0.410766602
0.171,-0.52947998
0.1715,-0.417480469
0.172,-0.155944824
0.1725,-0.18951416
0.173,0.130310059
0.1735,0.101318359
0.174,-0.059814453
0.1745,0.018615723
0.175,-0.156555176
0.1755,0.185852051
0.176,-0.090026855
0.1765,-0.227966309
0.177,0.027160645
0.1775,0.33996582
0.178,0.210876465
0.1785,0.078430176
0.179,0.308837891
0.1795,0.545043945
0.18,0.230712891
0.1805,0.617675781
0.181,0.596923828
0.1815,0.637207031
0.182,0.480957031
0.1825,0.575561523
0.183,0.802001953
0.1835,0.457458496
0.184,0.969238281
0.1845,0.931091309
0.185,1.077880859
0.1855,0.79498291
0.186,0.978393555
0.1865,1.104125977
0.187,1.07635498
0.1875,1.015930176
