Time,"CH 1, Ãþ¤ñ¿é¤J"
sec,V
0,0.195922852
0.0005,0.267944336
0.001,0.00579834
0.0015,0.006408691
0.002,-0.051879883
0.0025,0.018310547
0.003,0.06652832
0.0035,0.202026367
0.004,0.393066406
0.0045,0.113830566
0.005,-0.162963867
0.0055,0.04486084
0.006,0.091552734
0.0065,-0.043334961
0.007,0.116577148
0.0075,-0.001220703
0.008,0.03326416
0.0085,-0.037841797
0.009,-0.034179688
0.0095,-0.083007813
0.01,-0.073852539
0.0105,0.213623047
0.011,0.139770508
0.0115,0.155639648
0.012,0.072631836
0.0125,-0.153808594
0.013,0.001220703
0.0135,0.168457031
0.014,0.00793457
0.0145,-0.023498535
0.015,0.232849121
0.0155,-0.028991699
0.016,0.093078613
0.0165,-0.127868652
0.017,0.043029785
0.0175,0.113220215
0.018,0.124206543
0.0185,0.203857422
0.019,-0.022277832
0.0195,-0.001831055
0.02,-0.16204834
0.0205,-0.186462402
0.021,0.13458252
0.0215,0.167236328
0.022,-0.062255859
0.0225,0.137634277
0.023,0.039367676
0.0235,-0.02166748
0.024,0.150146484
0.0245,-0.065612793
0.025,0.324401855
0.0255,0.158996582
0.026,0.098266602
0.0265,0.048217773
0.027,-0.097045898
0.0275,-0.015563965
0.028,0.06652832
0.0285,0.223388672
0.029,0.30456543
0.0295,0.036315918
0.03,-0.05645752
0.0305,0.223083496
0.031,-0.038452148
0.0315,0.07019043
0.032,0.153198242
0.0325,-0.00579834
0.033,0.25604248
0.0335,-0.10559082
0.034,0.085144043
0.0345,-0.019226074
0.035,-0.045776367
0.0355,0.239257813
0.036,0.18371582
0.0365,0.289306641
0.037,0.034179688
0.0375,-0.213317871
0.038,0.122680664
0.0385,0.120239258
0.039,-0.050048828
0.0395,0.11505127
0.04,0.089416504
0.0405,-0.017089844
0.041,0.15838623
0.0415,-0.071716309
0.042,0.012512207
0.0425,0.109863281
0.043,0.30456543
0.0435,0.178222656
0.044,-0.116577148
0.0445,-0.047607422
0.045,-0.211181641
0.0455,-0.059814453
0.046,0.15411377
0.0465,-0.076293945
0.047,0.095825195
0.0475,0.230102539
0.048,-0.092468262
0.0485,0.084533691
0.049,0.11932373
0.0495,0.01953125
0.05,0.24230957
0.0505,0.063171387
0.051,0.056152344
0.0515,-0.014648438
0.052,0.123291016
0.0525,0.055847168
0.053,0.0390625
0.0535,0.395812988
0.054,0.299377441
0.0545,0.007324219
0.055,0.084228516
0.0555,0.086975098
0.056,-0.013427734
0.0565,0.15045166
0.057,-0.048522949
0.0575,0.030822754
0.058,0.166320801
0.0585,0.068664551
0.059,-0.039672852
0.0595,-0.137939453
0.06,0.094604492
0.0605,0.175170898
0.061,0.086669922
0.0615,0.20904541
0.062,-0.116882324
0.0625,-0.084838867
0.063,0.170898438
0.0635,-0.040893555
0.064,0.045166016
0.0645,0.18157959
0.065,0.049133301
0.0655,0.107116699
0.066,0.0390625
0.0665,0.05065918
0.067,-0.010375977
0.0675,0.140686035
0.068,0.303955078
0.0685,0.010986328
0.069,0.058898926
0.0695,-0.094909668
0.07,-0.26763916
0.0705,0.081481934
0.071,0.246276855
0.0715,-0.040893555
0.072,0.206298828
0.0725,-0.042114258
0.073,-0.008239746
0.0735,0.149536133
0.074,-0.055847168
0.0745,0.03692627
0.075,0.231018066
0.0755,0.175170898
0.076,-0.026245117
0.0765,-0.135498047
0.077,-0.01159668
0.0775,-0.030822754
0.078,0.257263184
0.0785,0.360107422
0.079,0.074157715
0.0795,0.042724609
0.08,0.164489746
0.0805,-0.046081543
0.081,0.083312988
0.0815,0.124816895
0.082,-0.02166748
0.0825,0.25970459
0.083,-0.082397461
0.0835,0.001220703
0.084,-0.053100586
0.0845,0.064086914
